visited_resources,announcements_view,discussion_count,raised_hands,login_count,Class
26,5,10,3,40,Excellent
27,2,2,20,37,Excellent
24,9,6,28,24,Excellent
24,3,5,7,37,Excellent
23,0,10,3,36,Excellent
12,2,8,18,16,Good
20,6,3,21,19,Excellent
28,3,7,20,10,Excellent
2,6,5,9,17,Good
20,5,9,30,16,Excellent
23,5,6,2,32,Excellent
16,10,9,4,4,Good
9,9,1,18,11,Good
15,6,10,1,6,Good
7,0,3,8,6,At Risk
29,0,2,6,8,Average
7,1,7,20,15,Good
3,6,0,25,38,Excellent
22,3,2,15,7,Good
13,8,1,19,18,Good
7,1,10,29,37,Excellent
20,9,1,5,33,Excellent
9,0,2,11,5,At Risk
20,2,3,14,27,Excellent
3,1,4,12,39,Good
12,8,2,10,16,Good
5,10,3,3,7,Average
24,7,3,14,5,Good
30,2,1,28,1,Good
3,9,8,6,39,Excellent
21,9,5,15,16,Excellent
7,5,1,28,29,Excellent
9,1,3,25,13,Good
6,10,8,8,33,Excellent
30,9,10,1,33,Excellent
12,0,0,3,30,Average
29,0,7,10,36,Excellent
12,10,5,6,10,Good
24,7,0,24,35,Excellent
18,10,5,1,7,Good
26,2,5,12,14,Good
22,10,2,22,31,Excellent
8,9,9,10,16,Excellent
8,5,8,5,38,Excellent
0,1,10,10,2,Average
24,0,3,2,11,Average
20,9,6,19,16,Excellent
6,0,9,15,36,Excellent
22,8,7,22,0,Excellent
6,7,7,22,6,Good
1,5,7,19,0,Average
2,10,7,14,6,Good
1,9,10,1,5,Average
15,9,5,28,14,Excellent
20,3,8,26,24,Excellent
26,5,8,23,15,Excellent
22,6,2,21,33,Excellent
24,0,6,1,1,Average
6,10,1,0,14,Average
15,3,10,12,17,Excellent
15,10,2,30,13,Excellent
30,7,6,6,25,Excellent
28,6,7,7,28,Excellent
6,4,10,9,35,Excellent
8,6,8,15,33,Excellent
23,10,5,2,15,Excellent
9,0,3,14,32,Good
2,4,3,8,8,Average
4,8,2,12,30,Good
18,9,8,14,32,Excellent
19,6,6,20,35,Excellent
14,1,9,5,25,Good
6,5,9,5,24,Good
13,3,9,11,14,Good
5,9,1,11,7,Average
19,2,3,13,7,Average
24,10,10,1,36,Excellent
4,5,3,6,25,Good
7,6,5,17,10,Good
20,7,2,11,15,Good
25,1,5,17,38,Excellent
15,2,10,12,31,Excellent
26,0,1,13,17,Good
14,8,8,22,38,Excellent
24,8,4,4,40,Excellent
20,4,1,1,27,Good
16,6,4,22,24,Excellent
20,8,4,3,34,Excellent
30,4,3,2,36,Excellent
1,1,7,0,8,At Risk
25,8,9,18,30,Excellent
22,3,7,26,9,Excellent
14,5,3,15,14,Good
5,5,5,12,6,Average
22,9,2,20,36,Excellent
19,0,4,10,8,Average
28,6,4,20,31,Excellent
25,0,1,30,22,Excellent
27,8,0,12,3,Good
28,2,5,26,7,Excellent
1,10,4,4,32,Good
18,7,8,6,29,Excellent
4,9,5,19,5,Good
13,7,5,1,18,Good
27,1,3,24,27,Excellent
18,9,6,10,2,Good
7,10,1,22,11,Good
21,1,10,29,29,Excellent
9,2,6,29,13,Good
21,0,10,12,7,Good
8,1,0,8,12,Average
10,5,7,7,23,Good
13,10,10,19,25,Excellent
30,7,8,15,14,Excellent
17,1,3,19,17,Good
11,6,6,19,4,Good
11,10,7,4,8,Good
14,3,2,6,1,Average
24,10,5,0,5,Good
11,0,0,4,25,Average
16,10,9,9,34,Excellent
12,4,6,7,10,Average
13,0,5,10,22,Good
15,8,9,5,29,Excellent
12,6,3,13,15,Good
22,9,8,6,26,Excellent
11,3,7,18,31,Excellent
1,3,6,26,31,Excellent
12,7,6,24,21,Excellent
13,6,10,0,3,Average
17,8,3,20,36,Excellent
18,0,9,14,30,Excellent
14,7,3,0,2,Average
11,4,4,8,13,Average
19,5,9,6,31,Excellent
15,5,7,22,5,Good
18,7,10,0,2,Good
7,9,8,6,18,Good
25,1,2,26,29,Excellent
9,0,0,21,28,Good
7,8,9,0,19,Good
24,6,0,2,4,Average
25,8,8,11,6,Excellent
30,4,6,26,24,Excellent
12,7,7,12,10,Good
27,4,8,4,30,Excellent
2,2,5,9,35,Good
17,7,3,27,20,Excellent
13,6,8,7,3,Good
16,7,2,15,6,Good
4,9,6,14,36,Excellent
2,9,0,2,39,Good
6,2,9,9,26,Good
8,4,2,8,26,Good
23,6,2,24,5,Good
0,7,9,3,22,Good
3,0,1,11,4,At Risk
13,2,7,13,15,Good
28,0,9,27,6,Excellent
17,2,7,3,6,Average
19,2,1,9,26,Good
6,1,2,12,13,Average
29,0,4,18,9,Good
17,10,1,3,7,Average
7,5,2,1,21,Average
24,5,0,29,8,Excellent
5,4,9,5,21,Good
30,5,9,18,37,Excellent
14,2,10,19,9,Good
24,7,7,12,32,Excellent
19,6,5,29,21,Excellent
3,10,3,24,10,Good
8,9,2,26,10,Good
1,6,5,17,5,Average
12,5,5,9,13,Good
3,3,5,1,8,At Risk
24,2,4,24,24,Excellent
27,7,6,12,14,Excellent
12,7,3,7,19,Good
12,3,1,12,6,Average
1,9,9,30,0,Good
9,5,1,6,6,Average
24,10,8,26,35,Excellent
27,10,0,1,34,Excellent
4,6,10,7,34,Excellent
21,3,6,10,36,Excellent
19,4,7,18,36,Excellent
11,3,4,15,14,Good
12,9,6,13,26,Excellent
8,6,2,2,27,Good
24,6,3,7,30,Excellent
10,3,9,12,38,Excellent
5,8,1,28,9,Good
9,7,7,11,17,Good
17,1,5,19,16,Good
11,8,3,7,4,Average
11,2,8,16,29,Excellent
22,1,4,0,8,Average
3,8,2,14,36,Excellent
28,10,8,3,19,Excellent
1,9,1,10,19,Good
7,8,3,11,33,Excellent
28,6,1,9,31,Excellent
2,4,4,22,28,Good
2,0,2,10,18,Average
17,8,1,11,13,Good
19,4,0,14,12,Good
5,0,6,20,30,Good
16,2,9,27,15,Excellent
20,3,3,19,9,Good
3,8,10,30,30,Excellent
2,10,0,12,33,Good
6,6,6,1,36,Good
2,3,8,6,4,Average
3,2,8,2,11,Average
6,10,1,28,29,Excellent
12,9,0,1,12,Average
16,2,4,13,16,Good
7,7,3,17,13,Good
6,7,2,12,12,Average
19,1,4,21,4,Good
20,5,9,21,34,Excellent
26,0,2,9,32,Excellent
7,9,4,20,28,Excellent
24,10,0,15,37,Excellent
9,0,3,26,5,Average
1,10,2,20,33,Excellent
5,7,0,12,24,Good
6,2,3,21,40,Excellent
2,7,6,23,21,Excellent
26,9,10,30,37,Excellent
30,7,7,16,14,Excellent
25,10,2,17,3,Good
17,4,4,9,22,Good
8,3,8,5,27,Good
7,3,3,25,3,Average
15,3,0,27,36,Excellent
21,9,1,22,13,Excellent
14,7,6,29,23,Excellent
3,1,3,17,22,Good
7,5,5,0,36,Good
0,1,2,14,18,Average
19,5,7,1,15,Good
27,5,3,7,39,Excellent
11,0,4,22,18,Good
4,5,4,1,36,Good
17,10,2,2,33,Excellent
28,3,4,27,28,Excellent
1,0,6,14,8,Average
14,4,5,22,13,Good
5,3,1,14,3,Average
26,2,4,14,19,Excellent
28,6,1,19,22,Excellent
22,5,10,21,4,Excellent
28,5,6,1,32,Excellent
11,0,8,0,35,Good
11,8,10,13,5,Good
10,8,1,19,20,Good
28,2,3,8,26,Excellent
14,5,9,30,33,Excellent
2,6,10,4,24,Good
6,1,8,22,33,Excellent
14,3,0,17,4,Average
22,4,0,23,7,Good
30,0,10,29,30,Excellent
11,9,9,28,21,Excellent
21,5,4,28,36,Excellent
16,5,4,13,8,Good
10,7,4,17,6,Good
28,9,3,10,26,Excellent
16,6,3,3,21,Good
24,7,10,23,11,Excellent
16,6,0,3,37,Good
21,4,8,22,15,Excellent
18,3,6,30,16,Excellent
16,10,0,9,17,Good
0,4,1,1,29,Average
20,7,7,0,30,Excellent
12,2,1,8,24,Good
25,6,8,22,9,Excellent
2,9,7,16,36,Excellent
30,8,10,30,40,Excellent
24,3,6,18,35,Excellent
19,1,8,15,39,Excellent
28,1,4,13,8,Good
14,1,1,4,0,At Risk
20,0,1,11,17,Good
6,7,3,28,20,Excellent
28,0,0,9,37,Excellent
23,0,5,17,9,Good
7,3,6,6,12,Average
5,2,8,27,26,Excellent
26,0,9,14,3,Good
28,2,0,26,1,Good
26,9,6,12,15,Excellent
20,3,3,3,17,Good
10,0,0,4,14,At Risk
16,1,9,4,10,Good
28,0,7,10,33,Excellent
22,5,6,0,10,Good
8,9,6,28,14,Excellent
4,9,8,22,8,Good
10,1,7,4,13,Average
9,2,10,24,24,Excellent
17,7,10,24,31,Excellent
9,7,1,26,35,Excellent
8,1,1,8,12,Average
11,0,2,30,2,Average
27,3,0,14,31,Excellent
6,4,3,26,29,Excellent
6,6,2,12,25,Good
2,4,8,3,10,Average
25,5,5,16,32,Excellent
22,2,5,16,2,Good
5,0,2,6,37,Good
24,9,2,4,38,Excellent
9,0,1,23,21,Good
3,3,1,16,34,Good
3,4,5,28,20,Good
12,7,1,27,35,Excellent
26,10,2,20,8,Excellent
27,0,9,16,27,Excellent
4,3,10,6,15,Good
2,7,6,29,36,Excellent
6,6,10,8,21,Good
29,6,4,30,21,Excellent
27,2,7,15,21,Excellent
30,10,0,29,21,Excellent
2,3,0,7,19,Average
10,6,10,9,8,Good
28,4,9,14,38,Excellent
6,0,8,6,33,Good
29,10,4,23,27,Excellent
2,7,6,6,6,Average
10,4,3,8,7,Average
13,6,2,16,37,Excellent
19,2,0,14,24,Good
17,2,8,21,12,Excellent
11,6,4,6,0,Average
12,8,1,7,35,Excellent
9,4,7,14,3,Average
28,8,3,6,35,Excellent
10,6,6,6,15,Good
7,5,10,26,3,Good
11,5,7,5,34,Excellent
15,1,0,13,34,Good
22,10,5,18,39,Excellent
29,8,5,26,34,Excellent
17,9,1,8,16,Good
2,0,10,30,39,Excellent
14,3,6,19,37,Excellent
0,0,1,23,32,Good
10,5,9,24,10,Excellent
27,10,10,8,26,Excellent
23,2,6,28,7,Excellent
18,0,0,7,35,Good
0,10,0,25,11,Good
14,9,3,3,34,Excellent
12,7,0,20,6,Good
2,3,8,7,0,Average
11,2,1,28,36,Excellent
8,2,4,27,19,Good
4,3,5,10,25,Good
5,10,7,19,40,Excellent
8,3,3,14,39,Excellent
25,2,4,7,38,Excellent
28,9,0,19,3,Good
20,1,10,19,37,Excellent
29,6,0,5,29,Excellent
28,6,3,7,11,Good
23,2,7,26,38,Excellent
21,8,4,0,24,Good
14,9,0,1,39,Excellent
16,2,6,30,9,Excellent
25,9,1,18,25,Excellent
26,1,7,1,16,Good
12,4,6,25,24,Excellent
23,3,8,19,37,Excellent
17,10,7,18,18,Excellent
2,1,4,28,15,Good
16,5,0,29,19,Excellent
15,0,4,12,21,Good
14,3,6,9,28,Good
11,8,0,9,28,Good
24,5,4,25,0,Good
13,10,6,0,10,Good
22,3,4,12,32,Excellent
29,1,7,20,25,Excellent
3,9,9,17,15,Excellent
8,8,7,15,0,Good
3,1,4,6,32,Good
4,9,10,29,25,Excellent
30,1,0,23,30,Excellent
25,0,3,25,37,Excellent
28,2,8,16,7,Excellent
0,10,5,24,5,Good
28,8,7,12,3,Excellent
9,8,6,14,39,Excellent
17,9,1,16,19,Excellent
27,8,2,27,33,Excellent
16,4,9,30,18,Excellent
5,6,6,15,15,Good
17,6,2,23,0,Good
0,8,9,17,9,Good
23,2,7,11,2,Good
22,0,10,22,22,Excellent
21,3,10,7,0,Good
14,2,8,14,31,Excellent
19,5,0,23,8,Good
23,3,4,9,34,Excellent
25,8,5,16,33,Excellent
7,3,8,6,18,Good
15,3,8,15,0,Good
1,4,9,15,6,Average
13,5,7,13,30,Excellent
14,10,3,29,34,Excellent
16,5,0,4,35,Good
14,7,9,17,18,Excellent
25,8,6,21,40,Excellent
26,0,2,13,30,Excellent
30,8,4,17,8,Excellent
24,10,8,20,16,Excellent
13,1,6,3,12,Average
22,5,4,21,29,Excellent
8,0,4,8,2,At Risk
19,1,7,17,8,Good
27,3,3,30,40,Excellent
1,3,4,28,28,Excellent
14,9,2,13,36,Excellent
12,7,8,25,22,Excellent
30,5,7,29,15,Excellent
24,2,6,20,39,Excellent
11,10,5,4,32,Excellent
2,7,3,8,31,Good
6,7,8,30,21,Excellent
14,0,8,10,24,Good
0,7,0,2,37,Good
1,4,3,2,17,Average
15,1,9,6,8,Average
30,3,1,27,13,Excellent
4,5,3,5,16,Average
14,2,4,10,39,Excellent
30,2,6,11,11,Good
18,4,1,14,35,Excellent
11,6,10,27,19,Excellent
1,3,10,20,31,Excellent
10,10,8,4,1,Good
2,10,8,24,5,Good
26,5,4,1,38,Excellent
0,9,6,30,14,Excellent
19,3,3,1,6,Average
10,3,8,20,5,Good
26,4,4,2,26,Excellent
9,2,9,26,3,Good
12,9,9,8,39,Excellent
28,7,2,26,27,Excellent
1,2,9,21,22,Good
15,5,6,10,14,Good
30,4,8,24,3,Excellent
21,7,2,30,20,Excellent
22,9,0,28,23,Excellent
25,3,8,26,23,Excellent
20,1,3,25,6,Good
14,3,6,26,14,Excellent
11,6,6,4,36,Excellent
19,8,9,14,15,Excellent
7,10,0,5,9,Average
1,4,5,11,38,Good
3,0,5,11,12,Average
20,5,9,9,3,Good
25,2,4,29,28,Excellent
2,3,10,28,3,Good
7,2,7,21,39,Excellent
24,2,6,15,33,Excellent
6,6,4,8,8,Average
13,1,9,15,0,Average
18,7,6,17,32,Excellent
23,3,0,26,38,Excellent
3,9,1,29,22,Excellent
1,10,3,4,27,Good
24,0,9,22,20,Excellent
10,2,7,15,34,Excellent
21,9,4,20,32,Excellent
0,1,5,9,34,Good
12,0,0,26,32,Excellent
15,9,9,12,32,Excellent
16,9,4,26,6,Excellent
21,1,10,13,20,Excellent
21,4,6,9,5,Good
2,5,1,12,33,Good
16,4,3,25,34,Excellent
16,3,2,8,29,Good
15,2,9,0,5,Average
13,4,8,19,13,Good
19,0,8,10,12,Good
1,5,1,1,39,Good
27,1,8,28,20,Excellent
16,2,4,7,37,Excellent
8,3,10,30,21,Excellent
5,1,9,27,9,Good
3,0,4,6,24,Average
10,5,0,20,6,Average
21,1,6,14,0,Average
19,0,0,10,32,Good
16,1,0,18,28,Good
18,6,3,22,7,Good
29,10,4,18,23,Excellent
13,2,6,14,39,Excellent
0,10,0,30,39,Excellent
22,8,4,25,24,Excellent
1,4,0,1,7,At Risk
30,0,2,5,5,Average
22,2,3,0,16,Average
25,7,9,21,23,Excellent
25,0,6,5,25,Good
19,6,0,20,21,Excellent
24,6,8,5,35,Excellent
3,4,10,27,34,Excellent
10,2,1,6,5,At Risk
0,6,0,23,32,Good
27,1,3,16,37,Excellent
12,10,5,14,22,Excellent
16,10,5,6,23,Excellent
26,1,9,29,31,Excellent
8,2,9,4,26,Good
26,3,10,19,14,Excellent
3,7,3,15,7,Average
5,7,10,7,19,Good
1,8,1,6,26,Good
24,3,0,14,2,Average
27,9,3,5,5,Good
1,7,2,15,15,Average
25,4,1,23,14,Excellent
18,0,3,23,1,Average
6,9,4,29,11,Excellent
19,2,4,5,25,Good
7,2,9,30,21,Excellent
25,4,2,2,5,Average
26,2,8,0,40,Excellent
11,6,10,14,26,Excellent
10,4,9,20,15,Excellent
17,9,2,5,15,Good
23,3,5,23,33,Excellent
30,9,3,26,25,Excellent
27,8,9,23,31,Excellent
10,9,5,10,26,Excellent
28,3,8,9,8,Good
9,1,6,24,25,Excellent
1,2,1,1,18,At Risk
2,10,5,21,11,Good
29,10,9,26,12,Excellent
23,7,10,24,16,Excellent
13,3,7,0,0,Average
8,9,4,18,17,Good
14,7,8,17,17,Excellent
11,8,0,6,7,Average
28,9,1,19,2,Good
18,4,3,13,9,Good
20,3,7,11,31,Excellent
8,7,2,13,4,Average
5,7,9,5,27,Good
25,6,6,24,29,Excellent
4,3,7,14,10,Average
0,9,4,0,27,Good
11,7,9,18,18,Excellent
1,10,0,19,40,Excellent
10,10,8,3,13,Good
18,0,1,30,32,Excellent
1,6,5,1,22,Average
25,4,0,26,38,Excellent
9,3,2,20,3,Average
5,9,10,5,19,Good
8,2,0,21,27,Good
28,7,5,30,15,Excellent
29,6,6,2,36,Excellent
24,7,4,1,17,Good
2,8,9,21,31,Excellent
11,5,6,0,9,Average
1,2,3,19,17,Average
29,5,10,21,2,Excellent
18,6,2,4,25,Good
29,2,10,1,37,Excellent
22,3,4,14,22,Excellent
4,1,3,27,30,Good
11,7,9,5,34,Excellent
1,3,10,6,0,Average
6,0,0,11,39,Good
10,2,3,9,32,Good
15,6,2,10,37,Excellent
17,10,4,8,17,Excellent
9,4,1,1,31,Good
28,2,4,25,26,Excellent
7,3,2,5,32,Good
27,6,1,16,4,Good
10,7,7,5,5,Average
16,0,3,16,25,Good
7,10,6,11,3,Good
27,7,7,23,37,Excellent
12,4,6,0,35,Good
10,0,2,10,2,At Risk
9,10,4,18,29,Excellent
18,1,2,7,40,Excellent
1,9,9,16,18,Excellent
6,2,6,25,4,Good
10,1,1,6,19,Average
6,4,5,29,25,Excellent
12,3,9,27,29,Excellent
27,1,7,17,39,Excellent
18,7,10,7,11,Excellent
6,3,10,17,20,Good
8,5,1,16,17,Good
12,8,8,3,16,Good
5,9,4,6,13,Good
2,5,5,16,38,Excellent
17,3,2,17,40,Excellent
3,7,6,18,12,Good
13,8,2,22,30,Excellent
3,7,1,3,38,Good
30,2,10,20,16,Excellent
9,10,6,9,16,Good
23,8,3,5,18,Good
25,3,8,6,25,Excellent
26,9,6,9,38,Excellent
29,1,1,0,31,Good
6,1,9,12,29,Good
17,0,1,25,19,Good
8,1,1,7,19,Average
28,1,8,25,28,Excellent
13,1,10,10,13,Good
8,9,6,3,9,Good
10,2,3,21,19,Good
1,7,0,0,3,At Risk
8,7,9,26,23,Excellent
2,9,8,17,19,Excellent
14,7,7,7,40,Excellent
18,5,3,2,29,Good
0,9,3,3,17,Average
28,9,7,15,24,Excellent
26,4,4,4,26,Excellent
30,5,10,25,5,Excellent
28,6,8,17,28,Excellent
16,4,10,0,30,Excellent
16,9,3,15,15,Excellent
10,10,1,12,7,Good
2,5,3,19,13,Good
3,0,6,17,30,Good
11,10,7,29,23,Excellent
18,2,5,17,21,Excellent
12,5,4,28,2,Good
22,0,7,8,37,Excellent
17,10,3,12,28,Excellent
6,2,9,23,37,Excellent
15,6,3,7,35,Excellent
12,6,1,0,14,Average
0,3,0,22,9,Average
27,10,7,22,37,Excellent
7,9,2,15,16,Good
15,4,2,23,3,Good
0,1,10,22,30,Excellent
23,3,0,15,32,Excellent
28,2,7,20,31,Excellent
7,0,9,27,6,Good
29,8,9,25,31,Excellent
22,9,0,2,7,Average
14,3,4,27,33,Excellent
10,7,0,17,17,Good
2,3,10,14,14,Good
10,0,6,15,11,Average
25,1,1,11,13,Good
9,8,4,26,29,Excellent
2,0,3,17,4,At Risk
20,4,7,7,40,Excellent
23,5,5,17,23,Excellent
1,4,2,23,7,Average
29,9,9,0,31,Excellent
2,9,4,25,26,Excellent
13,2,1,2,30,Good
26,5,4,16,31,Excellent
7,9,1,10,1,Average
13,7,5,28,17,Excellent
5,1,8,3,33,Good
25,8,0,3,32,Excellent
25,10,9,2,15,Excellent
0,6,7,7,16,Average
7,6,6,8,23,Good
9,2,6,26,21,Excellent
27,3,7,19,2,Good
15,0,10,24,40,Excellent
9,9,3,27,33,Excellent
25,2,1,10,10,Good
0,2,7,0,28,Average
28,9,9,27,4,Excellent
11,0,7,17,8,Good
12,2,5,22,34,Excellent
4,6,8,6,0,Average
28,4,5,26,33,Excellent
21,2,0,25,2,Good
7,7,4,0,12,Average
27,1,8,1,14,Good
0,3,0,21,0,At Risk
3,2,1,2,16,At Risk
19,1,5,4,21,Good
22,3,1,7,25,Good
16,7,2,12,33,Excellent
13,10,8,2,21,Excellent
9,8,5,14,23,Excellent
21,10,6,1,6,Good
15,1,5,24,15,Good
5,3,7,1,6,Average
4,10,9,28,30,Excellent
18,10,3,25,22,Excellent
28,4,2,26,20,Excellent
7,8,9,27,33,Excellent
9,8,7,28,23,Excellent
13,0,2,12,3,Average
4,6,10,9,37,Excellent
7,1,2,25,21,Good
1,9,2,17,26,Good
5,3,6,9,21,Good
27,5,6,0,32,Excellent
9,7,6,19,20,Excellent
7,8,7,26,16,Excellent
3,10,3,11,29,Good
11,10,6,5,37,Excellent
30,9,3,12,12,Excellent
3,7,0,23,11,Good
17,6,8,13,33,Excellent
7,4,1,26,35,Excellent
0,2,6,24,18,Good
24,2,7,20,31,Excellent
12,1,4,15,4,Average
23,4,5,17,40,Excellent
7,8,0,20,4,Average
6,2,2,27,18,Good
16,6,3,12,3,Average
19,2,4,21,31,Excellent
25,3,9,15,5,Good
4,9,7,19,38,Excellent
6,3,9,5,31,Good
26,0,8,17,14,Excellent
4,1,6,2,37,Good
12,6,3,6,1,Average
6,8,8,1,32,Excellent
9,4,5,2,23,Good
26,4,1,26,20,Excellent
28,0,9,22,10,Excellent
26,1,5,17,18,Excellent
11,10,4,7,22,Good
27,6,8,11,11,Excellent
2,6,3,22,18,Good
4,6,6,16,3,Average
18,10,6,14,10,Excellent
28,4,8,27,29,Excellent
26,4,3,11,27,Excellent
14,3,2,15,21,Good
14,9,10,15,13,Excellent
